,Unnamed: 0,title,magnitude,date_time,cdi,mmi,alert,tsunami,sig,net,nst,dmin,gap,magType,depth,latitude,longitude,location,continent,country
201,215,"M 7.5 - 32 km SW of Tari, Papua New Guinea",7.5,25-02-2018 17:44,9,8,yellow,1,943,us,0,5.48,17.0,mww,25.21,-6.07,142.75,"Tari, Papua New Guinea",Oceania,Papua New Guinea
202,216,"M 7.2 - 4 km S of Pinotepa de Don Luis, Mexico",7.2,16-02-2018 23:39,7,7,yellow,1,1384,us,0,0.142,82.0,mww,22.0,16.39,-97.98,"Pinotepa de Don Luis, Mexico",North America,Mexico
203,217,"M 7.9 - 261 km SE of Chiniak, Alaska",7.9,23-01-2018 09:31,9,4,green,1,1870,us,0,2.585,30.0,mww,14.06,56.0,-149.17,"Chiniak, Alaska",North America,United States
204,218,"M 7.1 - 37 km W of Atiquipa, Peru",7.1,14-01-2018 09:18,9,7,green,1,1075,us,0,4.29,23.0,mww,39.0,-15.77,-74.71,"Atiquipa, Peru",South America,Peru
205,219,"M 7.5 - 203 km NNE of Barra Patuca, Honduras",7.5,10-01-2018 02:51,8,5,green,1,1623,us,0,4.581,12.0,mww,19.0,17.48,-83.52,"Barra Patuca, Honduras",North America,Honduras
206,220,"M 6.5 - 12 km SSW of Kawalu, Indonesia",6.5,15-12-2017 16:47,8,7,green,0,998,us,0,2.365,28.0,mww,90.0,-7.49,108.17,"Kawalu, Indonesia",Asia,Indonesia
207,222,"M 7.0 - 85 km ENE of Tadine, New Caledonia",7.0,19-11-2017 22:43,4,6,green,1,771,us,0,0.617,14.0,mww,10.0,-21.32,168.67,"Tadine, New Caledonia",Europe,France
208,223,"M 6.6 - 74 km E of Tadine, New Caledonia",6.6,19-11-2017 15:09,4,5,green,1,676,us,0,0.529,21.0,mww,13.0,-21.5,168.6,"Tadine, New Caledonia",Europe,France
209,224,"M 6.5 - 18 km W of Parrita, Costa Rica",6.5,13-11-2017 02:28,8,8,yellow,1,1153,us,0,0.225,37.0,mww,19.36,9.51,-84.49,"Parrita, Costa Rica",North America,Costa Rica
210,225,"M 7.3 - 29 km S of ?alabja, Iraq",7.3,12-11-2017 18:18,8,9,red,0,2790,us,0,0.284,33.0,mww,19.0,34.91,45.96,"?alabja, Iraq",Asia,Iran
211,226,"M 6.5 - 67 km WSW of Angoram, Papua New Guinea",6.5,07-11-2017 21:26,6,5,green,1,661,us,0,4.449,10.0,mww,110.57,-4.24,143.49,"Angoram, Papua New Guinea",Oceania,Papua New Guinea
212,227,"M 6.8 - 97 km NE of Hihifo, Tonga",6.8,04-11-2017 09:00,5,5,green,1,727,us,0,4.852,21.0,mww,10.0,-15.32,-173.17,"Hihifo, Tonga",Oceania,Tonga
213,228,"M 6.6 - 101 km E of Tadine, New Caledonia",6.6,01-11-2017 02:23,3,5,green,1,674,us,0,0.788,29.0,mww,22.0,-21.65,168.86,"Tadine, New Caledonia",Europe,France
214,229,"M 6.7 - 132 km E of Tadine, New Caledonia",6.7,31-10-2017 00:42,3,4,green,1,691,us,0,1.062,55.0,mww,24.0,-21.7,169.15,"Tadine, New Caledonia",Europe,France
215,230,"M 6.7 - 181 km NNE of Maumere, Indonesia",6.7,24-10-2017 10:47,3,3,green,0,694,us,0,1.634,16.0,mww,553.81,-7.22,123.07,"Maumere, Indonesia",Asia,Indonesia
216,231,"M 6.5 - 247 km ESE of Attu Station, Alaska",6.5,08-10-2017 22:34,3,5,green,1,651,us,0,1.154,11.0,mww,119.0,52.39,176.77,"Attu Station, Alaska",North America,United States
217,232,"M 7.1 - 1 km S of Matzaco, Mexico",7.1,19-09-2017 18:14,9,8,,0,1686,us,0,0.984,23.0,mww,48.0,18.55,-98.49,"Matzaco, Mexico",North America,Mexico
218,233,"M 8.2 - near the coast of Chiapas, Mexico",8.2,08-09-2017 04:49,9,7,red,1,2910,us,0,0.944,22.0,mww,47.39,15.02,-93.9,"Chiapas, Mexico",North America,Mexico
219,234,"M 6.5 - 168 km SW of Mawu, China",6.5,08-08-2017 13:19,5,7,yellow,0,707,us,0,11.411,22.0,mww,9.0,33.19,103.86,"Mawu, China",Asia,China
220,235,"M 6.6 - 11 km ENE of Kos, Greece",6.6,20-07-2017 22:31,7,7,yellow,0,1064,us,0,0.913,16.0,mww,7.0,36.93,27.41,"Kos, Greece",Asia,Turkey
221,236,"M 7.7 - Komandorskiye Ostrova, Russia region",7.7,17-07-2017 23:34,8,7,green,1,918,us,0,3.564,13.0,mww,10.0,54.44,168.86,"Komandorskiye Ostrova, Russia region",Europe,Russian Federation
222,237,"M 6.6 - Auckland Islands, New Zealand region",6.6,11-07-2017 07:00,5,4,green,1,704,us,0,3.773,37.0,mww,10.0,-49.48,164.02,"Auckland Islands, New Zealand region",Oceania,New Zealand
223,238,"M 6.5 - 2 km S of Lim-oo, Philippines",6.5,06-07-2017 08:03,9,8,yellow,1,740,us,0,4.139,30.0,mww,9.0,11.13,124.63,"Lim-oo, Philippines",Asia,Philippines
224,239,"M 6.8 - 28 km SW of Puerto San José, Guatemala",6.8,22-06-2017 12:31,6,6,yellow,1,1034,us,0,1.065,38.0,mww,38.12,13.72,-90.97,"Puerto San José, Guatemala",North America,Guatemala
225,240,"M 6.9 - 2 km SSW of San Pablo, Guatemala",6.9,14-06-2017 07:29,8,6,yellow,1,1188,us,0,0.247,35.0,mww,93.0,14.91,-92.01,"San Pablo, Guatemala",North America,Guatemala
226,241,"M 6.8 - 200 km NW of Attu Station, Alaska",6.8,02-06-2017 22:24,0,4,green,1,711,us,0,2.308,12.0,mww,5.0,54.03,170.92,"Attu Station, Alaska",North America,United States
227,242,"M 6.6 - 37 km WNW of Poso, Indonesia",6.6,29-05-2017 14:35,7,7,green,0,678,us,0,2.353,18.0,mww,12.0,-1.29,120.43,"Poso, Indonesia",Asia,Indonesia
228,244,"M 6.8 - 59 km NNE of Port-Olry, Vanuatu",6.8,09-05-2017 13:52,6,5,green,1,713,us,0,7.495,19.0,mww,169.0,-14.59,167.38,"Port-Olry, Vanuatu",Oceania,Vanuatu
229,245,"M 6.9 - 31 km SW of Burias, Philippines",6.9,28-04-2017 20:23,9,6,green,1,814,us,0,1.636,14.0,mww,26.0,5.5,125.07,"Burias, Philippines",Asia,Philippines
230,246,"M 6.9 - 40 km W of Valparaíso, Chile",6.9,24-04-2017 21:38,9,7,yellow,1,1642,us,0,0.356,39.0,mww,28.0,-33.04,-72.06,"Valparaíso, Chile",South America,Chile
231,247,"M 6.5 - 132 km WSW of Moijabana, Botswana",6.5,03-04-2017 17:40,7,8,green,0,1297,us,0,2.36,15.0,mww,29.0,-22.68,25.16,"Moijabana, Botswana",Africa,Botswana
232,248,"M 6.6 - 81 km NNE of Ust’-Kamchatsk Staryy, Russia",6.6,29-03-2017 04:09,6,7,yellow,1,671,us,0,4.591,14.0,mww,17.0,56.94,162.79,"Ust’-Kamchatsk Staryy, Russia",Asia,Russian Federation
233,249,M 6.9 - south of the Fiji Islands,6.9,24-02-2017 17:28,2,3,green,1,733,us,0,6.012,19.0,mww,414.5,-23.26,-178.8,the Fiji Islands,Oceania,Fiji
234,250,"M 6.5 - 41 km E of Padilla, Bolivia",6.5,21-02-2017 14:09,3,3,green,0,653,us,0,4.242,14.0,mww,595.98,-19.28,-63.9,"Padilla, Bolivia",South America,Bolivia
235,251,"M 6.5 - 11 km N of Mabua, Philippines",6.5,10-02-2017 14:03,8,7,yellow,1,718,us,0,2.822,36.0,mww,15.0,9.91,125.45,"Mabua, Philippines",Asia,Philippines
236,252,"M 7.9 - 35 km WNW of Panguna, Papua New Guinea",7.9,22-01-2017 04:30,9,7,yellow,1,987,us,0,3.625,9.0,mww,135.0,-6.25,155.17,"Panguna, Papua New Guinea",Oceania,Papua New Guinea
237,253,"M 6.5 - 65 km W of Kirakira, Solomon Islands",6.5,19-01-2017 23:04,6,6,green,1,654,us,0,1.64,21.0,mww,36.0,-10.35,161.34,"Kirakira, Solomon Islands",Oceania,Solomon Islands
238,254,"M 7.3 - 189 km SSE of Tabiauan, Philippines",7.3,10-01-2017 06:13,6,3,green,1,849,us,0,3.813,18.0,mww,627.17,4.48,122.62,"Tabiauan, Philippines",Asia,Philippines
239,255,"M 6.9 - 225 km SW of Nadi, Fiji",6.9,03-01-2017 21:52,6,4,green,1,742,us,0,2.495,13.0,mww,12.0,-19.37,176.05,"Nadi, Fiji",Oceania,Fiji
240,256,"M 7.6 - 41 km SW of Quellón, Chile",7.6,25-12-2016 14:22,9,8,yellow,1,1152,us,0,0.355,29.0,mww,38.0,-43.41,-73.94,"Quellón, Chile",South America,Chile
241,257,"M 6.7 - 151 km NE of Lospalos, Timor Leste",6.7,21-12-2016 00:17,5,5,green,0,726,us,0,3.38,17.0,mww,152.0,-7.51,127.92,"Lospalos, Timor Leste",Asia,Indonesia
242,258,"M 7.9 - 140 km E of Kokopo, Papua New Guinea",7.9,17-12-2016 10:51,9,7,yellow,1,972,us,0,1.389,13.0,mww,94.54,-4.5,153.52,"Kokopo, Papua New Guinea",Oceania,Papua New Guinea
243,259,"M 6.9 - 92 km WSW of Kirakira, Solomon Islands",6.9,09-12-2016 19:10,8,6,green,1,737,us,0,1.747,26.0,mww,19.73,-10.75,161.13,"Kirakira, Solomon Islands",Oceania,Solomon Islands
244,260,"M 6.5 - 79 km WSW of Kirakira, Solomon Islands",6.5,08-12-2016 21:56,0,5,green,0,650,us,0,1.937,18.0,mww,12.26,-10.84,161.31,"Kirakira, Solomon Islands",Oceania,Solomon Islands
245,261,"M 7.8 - 69 km WSW of Kirakira, Solomon Islands",7.8,08-12-2016 17:38,9,8,green,1,961,us,0,1.836,13.0,mww,40.0,-10.68,161.33,"Kirakira, Solomon Islands",Oceania,Solomon Islands
246,262,"M 6.6 - 164 km W of Ferndale, California",6.6,08-12-2016 14:49,5,4,green,1,1120,us,0,1.405,55.0,mww,8.45,40.45,-126.19,"Ferndale, California",North America,United States
247,263,"M 6.5 - 14 km WNW of Reuleuet, Indonesia",6.5,06-12-2016 22:03,9,8,yellow,0,731,us,0,0.778,27.0,mww,13.0,5.28,96.17,"Reuleuet, Indonesia",Asia,Indonesia
248,264,"M 6.6 - 122 km N of Murghob, Tajikistan",6.6,25-11-2016 14:24,8,7,green,0,693,us,0,1.697,20.0,mww,17.0,39.27,73.98,"Murghob, Tajikistan",Asia,China
249,265,"M 6.9 - 156 km SSW of Puerto El Triunfo, El Salvador",6.9,24-11-2016 18:43,5,4,green,1,855,us,0,1.796,20.0,mww,10.0,11.91,-88.9,"Puerto El Triunfo, El Salvador",North America,El Salvador
250,266,"M 6.9 - 35 km ESE of Namie, Japan",6.9,21-11-2016 20:59,9,6,green,1,1144,us,0,0.671,10.0,mww,9.0,37.39,141.39,"Namie, Japan",Asia,Japan
251,267,"M 6.5 - 74 km NE of Amberley, New Zealand",6.5,14-11-2016 00:34,7,7,yellow,1,664,us,0,0.283,56.0,mww,9.0,-42.61,173.25,"Amberley, New Zealand",Oceania,New Zealand
